"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"C1,C2","2","22p","","","","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~"
"C3","1","0.1u","","","","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~"
"C4","1","1u","","","","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~"
"D1","1","Rx_LED","","","","LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~"
"D2","1","Tx_LED","","","","LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~"
"D3","1","S0","","","","LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~"
"D4","1","S1","","","","LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~"
"D5","1","S2","","","","LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~"
"J1","1","Raspberry_Pi_4","","","","Connector_PinHeader_2.54mm:PinHeader_2x20_P2.54mm_Vertical","https://datasheets.raspberrypi.com/rpi4/raspberry-pi-4-datasheet.pdf"
"J2","1","Conn_RoboClaw","","","","Connector_JST:JST_PH_B3B-PH-K_1x03_P2.00mm_Vertical","~"
"J3","1","Conn_Dynamixel","","","","Connector_JST:JST_EH_B3B-EH-A_1x03_P2.50mm_Vertical","~"
"J4","1","Conn_01x02_Pin","","","","Connector_JST:JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical","~"
"J5","1","12V in","","","","TerminalBlock:TerminalBlock_MaiXu_MX126-5.0-02P_1x02_P5.00mm","~"
"J6","1","LED_JST","","","","Connector_JST:JST_PH_B4B-PH-K_1x04_P2.00mm_Vertical","~"
"J7","1","I2C_JST","","","","Connector_JST:JST_PH_B4B-PH-K_1x04_P2.00mm_Vertical","~"
"R1,R2,R3,R4","4","10k","","","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~"
"R5","1","120","","","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~"
"R6,R7,R8,R9,R10","5","68","","","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~"
"U1","1","MCP2515-xSO","","","","Package_SO:SOIC-18W_7.5x11.6mm_P1.27mm","http://ww1.microchip.com/downloads/en/DeviceDoc/21801e.pdf"
"U2","1","SN65HVD230","","","","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","http://www.ti.com/lit/ds/symlink/sn65hvd230.pdf"
"U3","1","74LVC2G241","","","","Package_SO:VSSOP-8_3x3mm_P0.65mm","http://www.ti.com/lit/sg/scyt129e/scyt129e.pdf"
"U4","1","Buck 12V - 5V","","","","components:BUCK12-5",""
"Y1","1","8MHz","","","","Crystal:Crystal_HC49-4H_Vertical","~"
